LIGA,#,FECHA,HASTA,COMPETENCIA,PRUEBA,CIUDAD,CATEGORIA
ESGRIMA,1,02/25/2022 12:00:00 AM,02/27/2022 12:00:00 AM,COMPETENCIA NACIONAL,INDIVDUAL,CALI,MAY JUN CAD M15
ESGRIMA,2,04/22/2022 12:00:00 AM,04/24/2022 12:00:00 AM,COPA ELITE NACIONAL,INDIVDUAL,CALI,MAY JUN  CAD M15
ESGRIMA,3,05/28/2022 12:00:00 AM,05/29/2022 12:00:00 AM,COPA NACIONAL,INDIVDUAL,CALI,MAY JUN CAD M15
ESGRIMA,4,08/05/2022 12:00:00 AM,08/07/2022 12:00:00 AM,GRAN CAMPEONATO NACIONAL,INDIVDUAL,CALI,MAY JUN CAD M15
ESGRIMA,5,10/15/2022 12:00:00 AM,10/17/2022 12:00:00 AM,COPA NACIONAL,INDIVDUAL,CALI,MAY JUN CAD  M15
ESGRIMA,6,11/12/2022 12:00:00 AM,11/14/2022 12:00:00 AM,COPA NACIONAL,INDIVDUAL,CALI,JUN CAD M15
ESGRIMA,7,12/09/2022 12:00:00 AM,12/12/2022 12:00:00 AM,COPA NACIONAL,INDIVDUAL,CALI,JUN CAD M15
BOXEO,8,02/10/2022 12:00:00 AM,02/20/2022 12:00:00 AM,CAMPEONATO NACIONAL JUVENIL,17-18,BOGOTA,FUNDAMENTAL
BOXEO,9,03/03/2022 12:00:00 AM,03/13/2022 12:00:00 AM,CAMPEONATO NACIONAL MAYORES,19-40,BOGOTA,FUNDAMENTAL
BOXEO,10,06/02/2022 12:00:00 AM,06/12/2022 12:00:00 AM,CAMPEONATO NACIONAL MAYORES,19-40,VALLEDUPAR,FUNDAMENTAL
BOXEO,11,06/20/2022 12:00:00 AM,06/30/2022 12:00:00 AM,CAMPEONATO NACIONAL INFANTIL Y PREINFANTIL,"10-12,13-14",SANTA MARTA,FUNDAMENTAL
BOXEO,12,06/21/2022 12:00:00 AM,07/01/2022 12:00:00 AM,CAMPEONATO NACIONAL DE CADETES,15-16,CALI,FUNDAMENTAL
BOXEO,13,08/13/2022 12:00:00 AM,08/23/2022 12:00:00 AM,CAMPEONATO NACIONAL JUVENIL,17-18,CALI,FUNDAMENTAL
BOXEO,14,09/16/2022 12:00:00 AM,09/25/2022 12:00:00 AM,CAMPEONATO NACIONAL MAYORES,19-40,CUCUTA,FUNDAMENTAL
BOXEO,15,10/13/2022 12:00:00 AM,10/23/2022 12:00:00 AM,CAMPEONATO NACIONAL JUVENIL,17-18,CALI,FUNDAMENTAL
BOXEO,16,11/10/2022 12:00:00 AM,11/20/2022 12:00:00 AM,CAMPEONATO NACIONAL MAYORES,19-40,CALI,PREPARATORIO
BOXEO,17,11/24/2022 12:00:00 AM,11/27/2022 12:00:00 AM,INVITACIONAL VILLAVICENCIO,19-40,VILLAVICENCIO,PREPARATORIO
BOXEO,18,12/15/2022 12:00:00 AM,12/23/2022 12:00:00 AM,LIGA NACIONAL DE BOXEO (FORMATO WSB),19-40,BARRANQUILLA,PREPARATORIO
NATACION Y POLO ACUATICO,19,07/08/2022 12:00:00 AM,07/10/2022 12:00:00 AM,CAMPEONATO NACIONAL INTERLIGAS,INFANTIL B JUVENIL A,MEDELLIN,NATACION CARRERAS
NATACION Y POLO ACUATICO,20,07/12/2022 12:00:00 AM,07/16/2022 12:00:00 AM,CAMPEONATO NACIONAL INTERLIGAS,JUVENIL B  MAYORES,MEDELLIN,NATACION CARRERAS
NATACION Y POLO ACUATICO,21,12/09/2022 12:00:00 AM,12/12/2022 12:00:00 AM,CAMPEONATO NACIONAL INTERCLUBES,JUVENIL A & INFANTIL B,CALI,NATACION CARRERAS
NATACION Y POLO ACUATICO,22,12/14/2022 12:00:00 AM,12/18/2022 12:00:00 AM,CAMPEONATO NACIONAL INTERCLUBES,JUVENTUD B MAYORES,CALI,NATACION CARRERAS
NATACION Y POLO ACUATICO,23,03/04/2022 12:00:00 AM,03/06/2022 12:00:00 AM,I PARADA NACIONAL INTERCLUBES DE AGUAAS ABIERTAS,JUVENTUD B  MAYORES,GUATAPE,AGUAS ABIERTAS
NATACION Y POLO ACUATICO,24,05/20/2022 12:00:00 AM,05/22/2022 12:00:00 AM,II PARADA NACIONAL INTERCLUBES DE AGUAAS ABIERTAS,JUVENTUD B MAYORES,CHINCHINA,AGUAS ABIERTAS
NATACION Y POLO ACUATICO,25,08/11/2022 12:00:00 AM,08/14/2022 12:00:00 AM,III PARADA NACIONAL INTERCLUBES DE AGUAAS ABIERTAS,JUVENTUD B MAYORES,SAN ANTERO,AGUAS ABIERTAS
NATACION Y POLO ACUATICO,26,11/04/2022 12:00:00 AM,11/06/2022 12:00:00 AM,IV PARADA NACIONAL INTERCLUBES DE AGUAAS ABIERTAS,JUVENTUD B MAYORES,PRADO- TOLIMA,AGUAS ABIERTAS
NATACION Y POLO ACUATICO,27,04/01/2022 12:00:00 AM,04/04/2022 12:00:00 AM,LIGA NACIONAL,JUVENTUD B MAYORES,BOGOTA-CALI MEDELLIN,AGUAS ABIERTAS
NATACION Y POLO ACUATICO,28,08/25/2022 12:00:00 AM,08/28/2022 12:00:00 AM,LIGA NACIONAL,JUVENTUD B MAYORES,BOGOTA-CALI MEDELLIN,AGUAS ABIERTAS
NATACION Y POLO ACUATICO,29,12/01/2022 12:00:00 AM,12/04/2022 12:00:00 AM,LIGA NACIONAL,JUVENTUD B  MAYORES,BOGOTA-CALI MEDELLIN,AGUAS ABIERTAS
NATACION Y POLO ACUATICO,30,06/23/2022 12:00:00 AM,06/26/2022 12:00:00 AM,CAMPEONATO NACIONAL INTERCLUBES,JUVENTUD B MAYORES,MEDELLIN,NATACION POLO ACUATICO
TENIS DE CAMPO,31,05/08/2022 12:00:00 AM,05/15/2022 12:00:00 AM,CAMPEONATO GRADO 2,SUB12 A SUB 18,IBAGUE,TENIS DE CAMPO
TENIS DE CAMPO,32,07/04/2022 12:00:00 AM,07/10/2022 12:00:00 AM,CAMPEONATO NACIONAL INTERLIGAS,SUB12 A SUB 18,PEREIRA,TENIS DE CAMPO
TENIS DE CAMPO,33,07/05/2022 12:00:00 AM,07/11/2022 12:00:00 AM,CAMPEONATO INTERNACIONAL IBAGUE DESTINO DEPORTE,ABIERTO,IBAGUE,TENIS DE CAMPO
TENIS DE CAMPO,34,09/05/2022 12:00:00 AM,09/11/2022 12:00:00 AM,CAMPEONATO GRADO 3,SUB12 A SUB 18,IBAGUE,TENIS DE CAMPO
GOLF,35,09/06/2022 12:00:00 AM,09/12/2022 12:00:00 AM,SIN DEFINIR CALENDARO,SUB12 A SUB 19,IBAGUE,TENIS DE CAMPO
LEVANTAMIENTO DE PESAS,36,09/07/2022 12:00:00 AM,09/12/2022 12:00:00 AM,CAMPEONATO NACIONAL SUB 23,SUB12 A SUB 19,POR DEFINIR,LEVANTAMIENTO DE PESAS
LEVANTAMIENTO DE PESAS,37,09/21/2022 12:00:00 AM,09/25/2022 12:00:00 AM,NACIONAL SUB 20,SUB 20,CARTAGENA,LEVANTAMIENTO DE PESAS
